name,lat,lng,phone,route
Maligawatta,6.9350776,79.8699135,704774004,Western
Maradana,6.9205312,79.871959,704774003,Western
Kadana,7.0445999,79.8972346,704774006,Western
Ekala,7.08916,79.899821,704774011,Western
Malabe,6.9078595,79.9655245,704774013,Western
Nugegoda,6.8665837,79.89354,704774005,Western
Mt. Lavinia,6.8244489,79.8700362,704774014,Western
Miriswatta,7.0749798,80.0182478,704774019,Western
Pannipitiya,6.844307,79.955786,704774015,Western
Nittabuwa,7.133994,80.084652,704774007,Western
Negombo,7.1927372,79.8568062,704774021,Western
Divulapitiya,7.2244975,80.0209109,704774022,Western
Kesbewa,6.7946715,79.9417792,704774020,Western
Matara,5.944988248,80.55127996,704774024,Down South
Galle,6.0371469,80.2075182,704774023,Down South
Ratnapura,6.680732,80.413366,704774025,Down South
Embilipitiya,6.333535,80.85452,704774026,Down South
Anuradhapura,8.326127,80.409982,704774027,North
Panadura,6.694464,79.914691,704774028,Down South
Badulla,6.998572,81.0568654,704774029,Central
Pilimathalawa,7.265125,80.551193,704774030,Central
Kurunagala,7.4833228,80.3664751,704774032,North West
Batticaloa,7.726795,81.686871,704774033,East
Dambulla,7.8778488,80.6504524,704774034,North
Warakapola,7.2312998,80.2032739,704774035,Central
Akkaraipattu,7.2235188,81.8500291,704774037,East
Gampola,7.1661114,80.5738652,704774036,Central
Katugasthota,7.323732,80.621066,704774038,Central
Ambalangoda,6.2314024,80.0541879,704774040,Down South
Walgama,5.943739,80.522881,704774041,Down South
Moratuwa,6.77227011,79.88503419,704774043,Western
Jaffna,9.6612511,80.03737,704774039,North
Ambalantota,6.122582,81.02247,704774044,Down South
Hikkaduwa,6.141771,80.099579,704774055,Down South
Monaragala,6.875184,81.349105,704774049,Central
Mawanella,7.252486,80.448981,704774045,Central
Wennappuwa,7.362551,79.833849,704774046,Western
Puttalam,8.008512,79.838222,704774047,North West
Aluthgama,6.435738,79.996602,704774056,Down South
Bandarawela,6.834096,81.000118,704774050,Central
Pannala,7.32718,80.027504,704774057,North West
Polgahawela,7.336666,80.300772,704774058,North West
Avissawella,6.946986,80.198951,704774059,Down South
Matale,7.471487,80.619371,704774062,Central
Kegalle,7.2475,80.340055,704774060,Central
Wellawaya,6.73216,81.103835,704774061,Central
Matugama,6.524314,80.123553,704774063,Down South
Kalutara,6.571842,79.965041,704774064,Down South
Vavuniya,8.752910739943015,80.4977513640069,704774066,North
Killinochchi,9.396668484979049,80.408352718086,704774065,North
Trincomalee,8.582272, 81.227722,704774067,East
Polonnaruwa,7.939224, 81.020302,704774068,East
